0	1
arabalarımıza	araba
kartondan	karton
garaj	garaj
yaparız	yap
içinde	iç
ki	ki
isimler	isim
ve	ve
telefon	telefon
numaralarından	numara
yola	yol
çıkarak	çık
başka	başka
operasyonlar	operasyon
yaptık	yap
ama	ama
bunlar	bu
ayrı	ayrı
bir	bir
öykü	öykü
ikisi	iki
de	de
türkiye'nin	türkiye
sevdalısı	sevdalı
tüm	tüm
dostlara	dost
haber	haber
ulaştıramadım	ulaş
ama	ama
kalan	kal
dostlar	dost
her	her
şeyi	şey
halletti	hallet
her	her
istediklerini	iste
verirseniz	ver
verir	ver
kıymet	kıymet
bilmezler	bil
üstelik	üstelik
hiçbir	hiçbir
şeyden	şey
zevk	zevk
almaz	al
abd	abd
başkanı	başkan
george	george
bush	bush
ırak'ta	ırak
ki	ki
amerikan	amerikan
birliklerinin	birlik
omuzlarındaki	omuz
omuzlarında	omuz
ki	ki
yükün	yük
sonbaharda	sonbahar
müttefiklerin	müttefik
gelişiyle	gel
hafifleyeceğini	hafifle
söyledi	söyle
bunu	bu
da	da
mı	mi
yapmış	yap
yarım	yarım
greyfurt	greyfurt
günlük	günlük
vitamini	vitamin
ihtiyacının	ihtiyaç
yüzde	yüz
altmışını	altmış
sağlar	sağla
yemek	yemek
kaşığı	kaşık
zeytinyağı	zeytinyağı
yan	yan
tarafında	taraf
da	da
kocaman	kocaman
bir	bir
kavanoz	kavanoz
hanımı	hanım
asistan	asistan
yaptılar	yap
mini	mini
dizüstünde	dizüstü
3n	3n
dopingi	doping
ama	ama
hayatta	hayat
her	her
şey	şey
bizim	biz
istediğimiz	iste
gibi	gibi
olmuyor	ol
öyleyse	öyle
ben	ben
bir	bir
ispanyol	ispanyol
kadar	kadar
dünyalıyım	dünyalı
dünyalı	dünyalı
da	da
bu	bu
yaş	yaş
diliminin	dilim
en	en
az	az
çalışanları	çalış
slovakya	slovakya
belçika	belçika
ve	ve
fransa'da	fransa
bunu	bu
umuyoruz	um
bu	bu
kararla	karar
polise	polis
ve	ve
savcılıklara	savcılık
bu	bu
yönde	yön
yapılan	yap
şikâyetlerin	şikâyet
de	de
azalacağı	azal
belirtildi	belir
moby	moby
dick'e	dick
aldığım	al
sarı	sar
boya	boya
inceltmek	incel
için	için
ne	ne
gaz	gaz
ne	ne
benzin	benzin
hiçbir	hiçbir
şey	şey
kabul	kabul
etmiyordu	et
etmiyor	et
telsiz	telsiz
sürekli	sürekli
işliyor	işle
tamamlayıcı	tamamlayıcı
haberler	haber
geliyor	gel
buyruklar	buyruk
yerine	yer
ulaşıyordu	ulaş
ulaşıyor	ulaş
kutu	kutu
ançüez	ançüez
dünyaca	dünyaca
ünlü	ünlü
obuacı	obuacı
oturup	otur
bir	bir
süre	süre
dinledi	dinle
sonra	sonra
solisti	solist
tanımak	tanı
istediğini	iste
söyledi	söyle
öncelikle	öncelik
çok	çok
büyük	büyük
bir	bir
asker	asker
ve	ve
komutandır	komutan
çocuklardan	çocuk
biri	biri
köylülerin	köylü
çoğu	çoğu
evlere	ev
girmemişti	gir
girmemiş	gir
çünkü	çünkü
söylediklerine	söyle
göre	göre
ısınamıyorlardı	ısın
ısınamıyorlar	ısın
sesleri	ses
duyan	duy
şirkete	şirket
yeni	yeni
girmiş	gir
kaptan	kaptan
şaşkın	şaşkın
ve	ve
ürkek	ürkek
bir	bir
ifadeyle	ifade
boxerını	boxer
çekiştirerek	çekiş
tuvaletten	tuvalet
fırladı	fırla
alelacele	alelacele
el	el
edip	et
durdurdum	dur
ve	ve
bindik	bin
sarı	sarı
beyaz	beyaz
pembe	pembe
renkli	renkli
cinsleri	cins
içinde	iç
en	en
çok	çok
beyazı	beyaz
sevilir	sev
dünyada	dünya
uluslararası	uluslararası
duruma	durum
göre	göre
böyle	böyle
bir	bir
mücadelenin	mücadele
gerektirdiği	gerek
manevi	manevi
unsurlara	unsur
sahip	sahip
olmayan	ol
kişiler	kişi
ve	ve
bu	bu
nitelikte	nitelik
kişilerden	kişi
oluşan	oluş
toplumlara	toplum
hayat	hayat
ve	ve
bağımsızlık	bağımsızlık
yoktur	yok
yok	yok
ancak	ancak
pet	pet
therapist	therapist
size	siz
tanıtmadan	tanı
geçemeyeceğim	geç
kadıköy'de	kadıköy
istanbul'un	istanbul
musevi	musevi
gençleri	genç
bobi	bobi
takma	takma
adıyla	ad
sahaya	saha
çıkan	çık
ilk	ilk
türk	türk
futbolcusu	futbolcu
fuat	fuat
hüsnü	hüsnü
büyük	büyük
hasan	hasan
ve	ve
dalaklı	dalaklı
hüseyin	hüseyin
gibi	gibi
isimler	isim
de	de
forma	forma
giydiler	giy
israilli	israilli
yetkililerin	yetkili
daha	daha
önce	önce
yaptıkları	yap
açıklamalarda	açıklama
sınırın	sınır
israil	israil
tarafına	taraf
gönderilen	gönder
bazı	bazı
füzelerin	füze
suriye	suriye
tarafından	taraf
tahsis	tahsis
edildiği	et
ileri	ileri
sürülürken	sür
sürülür	sür
israil	israil
başbakanı	başbakan
ehud	ehud
olmert'in	olmert
hizbullah'ı	hizbullah
destekliyor	destekle
diyerek	de
iran'ı	iran
da	da
suçlaması	suçla
sona	son
erdirilmesi	er
beklenen	bekle
sorunun	sorun
daha	daha
büyük	büyük
bir	bir
coğrafyaya	coğrafya
yayılabileceği	yay
kaygısını	kaygı
uyandırıyor	uyan
ne	ne
kadar	kadar
düşünürsem	düşün
düşünürsem	düşün
düşünür	düşün
düşüneyim	düşün
televizyonda	televizyon
izlediklerimden	izle
başka	başka
bir	bir
fikir	fikir
gelmiyor	gel
aklıma	akıl
bence	ben
anne	anne
babalar	baba
da	da
tam	tam
bilmiyordu	bil
bilmiyor	bil
niye	niye
olduğunu	ol
atkuyruğu	atkuyruğu
zemberekotu	zemberekotu
1925'in	1925
ilk	ilk
yarısından	yarı
itibaren	itibaren
türkiye'de	türkiye
muhalefete	muhalefet
ve	ve
dolayısıyla	dolayısı
siyasete	siyaset
yaşama	yaşa
hakkı	hak
tanınmamıştır	tanı
ancak	ancak
saldırıyı	saldırı
henüz	henüz
üstlenen	üstlen
olmadı	ol
grubumuz	grup
190	190
oyla	oyla
bir	bir
meclis	meclis
başkanı	başkan
seçiminde	seçim
etkin	etkin
olamadığımızı	ol
düşündüğü	düşün
anda	an
eğer	eğer
meclis'in	meclis
çalışmaya	çalış
başlamasını	başla
sağlamak	sağla
ve	ve
anayasa'nın	anayasa
84'ncü	84
maddesinin	madde
bu	bu
madde	madde
başkanlık	başkanlık
divanında	divan
partilerin	parti
oyları	oy
oranında	oran
temsil	temsil
edilmesini	et
öngörüyordu	öngör
öngörüyor	öngör
işlerliğinden	işlerlik
vazgeçmek	vazgeç
ve	ve
1961	1961
yılından	yıl
beri	beri
uygulanmakta	uygula
centilmenlik	centilmenlik
anlaşmasından	anlaşma
da	da
vazgeçilmesine	vazgeç
razı	razı
olmak	ol
gibi	gibi
üç	üç
ihtimalden	ihtimal
birini	bir
kabul	kabul
etseydik	et
etseydik	et
etse	et
bugün	bugün
meclis'in	meclis
belki	belki
bir	bir
başkanı	başkan
olurdu	ol
olurdu	ol
olurdu	ol
olurdu	ol
olur	ol
dik	dik
dik	dik
yüzüne	yüz
baktı	bak
bütün	bütün
bir	bir
günü	gün
çalışmadan	çalış
büyük	büyük
bir	bir
sessizlik	sessizlik
içerisinde	içeri
geçirdik	geçir
geçir	geçir
zamanlar	zaman
kadifekale'de	kadifekale
otururlarmış	otur
otururlar	otur
fazla	faz
sayıda	sayı
olmamakla	ol
birlikte	birlikte
bazı	bazı
kadınlar	kadın
da	da
orgazm	orgazm
sırasında	sıra
boşalırlar	boşal
türkiye'de	türkiye
hassasiyetlerimiz	hassasiyet
var	var
sular	su
yaşıyor	yaşa
yanımda	yan
bu	bu
stratejinin	strateji
ortaya	orta
konulacağını	kon
hürriyet'te	hürriyet
ilk	ilk
ben	ben
yazmıştım	yaz
yazmıştım	yaz
yazmış	yaz
ve	ve
yazdıklarım	yaz
da	da
olduğu	ol
gibi	gibi
çıkmıştı	çık
çıkmış	çık
benim	ben
için	için
gerçek	gerçek
anlamda	anlam
trajik	trajik
bir	bir
olaya	olay
dönüşmüş	dönüş
üç	üç
demir	demir
çubuk	çubuk
bulup	bul
getirin	getir
dedi	de
rehberimiz	rehber
yılların	yıl
verdiği	ver
ustalıkla	ustalık
önünde	ön
durduğumuz	dur
her	her
yapı	yapı
hakkında	hak
bilgi	bilgi
veriyor	ver
bize	biz
hiç	hiç
ağrı	ağrı
çürük	çürük
yok	yok
salt	salt
yargı	yargı
önüne	ön
çıkarılmasın	çık
diye	diye
partisini	parti
bağlayıp	bağla
paketleyip	paketle
refah	refah
partisi'ne	parti
rehin	rehin
bırakan	bırak
bayan	bayan
çiller	çiller
ödülünü	ödül
alıyor	al
panik	panik
korku	korku
acı	acı
ürkek	ürkek
ve	ve
donuk	donuk
bakışlar	bak
yalnız	yalnız
kaldığında	kal
da	da
baktığından	bak
şüpheliyim	şüpheli
bayrama	bayram
katılmak	katıl
zorunludur	zorunlu
katılmayan	kat
köy	köy
halkınca	halk
dışlanır	dışla
pamukkale'nin	pamukkale
yanında	yan
kule	kule
gibi	gibi
görünüşleri	görünüş
ile	ile
peri	peri
bacaları	baca
karşılıyor	karşıla
ve	ve
sanki	sanki
her	her
bir	bir
baca	baca
başındaki	baş
başında	baş
ki	ki
komik	komik
şapkası	şapka
ile	ile
bizlere	biz
gülümsüyor	gülümse
tutacak	tutacak
kimse	kimse
yok	yok
ki	ki
japonya'nın	japonya
dağarcığında	dağarcık
iki	iki
de	de
kış	kış
olimpiyatı	olimpiyat
ev	ev
sahipliği	sahiplik
vardı	var
var	var
benim	ben
için	için
de	de
takım	takım
elbiselere	elbise
baktık	bak
oyak	oyak
renault	renault
genel	genel
müdürü	müdür
alain	alain
gabillet	gabillet
renault'nun	renault
üretiminin	üretim
geçen	geçen
yıl	yıl
yüzde	yüz
50'ye	50
yakın	yakın
oranda	oran
artarak	art
197	197
bin	bin
353	353
adede	adet
çıktığını	çık
böylece	böylece
rekor	rekor
kırdıklarını	kır
söyledi	söyle
bu	bu
korku	korku
fırsatçılığı	fırsatçılık
sayesinde	saye
dünyanın	dünya
en	en
zengin	zengin
enerji	enerji
bölgeleri	bölge
işgal	işgal
edilmedi	et
mi	mi
bir	bir
adım	adım
saydı	say
sağ	sağ
hele	hele
gençler	genç
hastanın	hasta
halinden	hâl
anlamıyordu	anla
anlamıyor	anla
ve	ve
işte	işte
beni	ben
kahreden	kahret
somurtganlaştıran	somurtkanlaş
saatlerce	saatlerce
ağlatan	ağla
gözyaşlarıyla	gözyaşı
dolu	dolu
...	...
bunun	bu
için	için
vajina	vajina
bölgesi	bölge
tabiri	tabir
daha	daha
doğru	doğru
ben	ben
hapşırdığım	hapşır
zaman	zaman
ablam	abla
çok	çok
güler	gül
islamiyetgercekleri.org	islamiyetgercekleri.org
bal	bal
ana	ana
maddesini	madde
teşkil	teşkil
eden	et
meyve	meyve
şekeri	şeker
sayesinde	saye
şeker	şeker
kamışından	kamış
hemen	hemen
hemen	hemen
iki	iki
misli	misli
daha	daha
tatlıdır	tatlı
sevgi'nin	sevgi
trt	trt
yarışmasına	yarışma
gönderdiği	gönder
yürümek	yürümek
romanını	roman
sevdim	sev
yerli	yerli
kadınlar	kadın
sac	sac
üzerinde	üzer
kızartılan	kızar
yassı	yassı
ekmeklerin	ekmek
pişirilmesini	pişir
gösteriyorlar	göster
aynı	aynı
roman	roman
tunç	tunç
okan	okan
tarafından	taraf
sinemaya	sinema
uyarlandı	uyarla
1993	1993
gündüz	gündüz
sevilgen	sevilgen
adlı	adlı
msp'li	msp'li
mühendis	mühendis
chp'ye	chp
yönelttiği	yönel
suçlamalarda	suçlama
partisi	parti
için	için
ün	ün
yapmaya	yap
başlamıştı	başla
başlamış	başla
bile	bile
anlaşıldı	anla
tamam	tamam
kriz	kriz
merkezine	merkez
gelen	gel
bir	bir
ihbar	ihbar
üzerine	üzer
deponun	depo
sorumluluğu	sorumluluk
kocaeli	kocaeli
üniversitesi	üniversite
tıp	tıp
fakültesi	fakülte
personeline	personel
devredildi	devret
tilki	tilki
sanki	sanki
bir	bir
an	an
ceren'e	ceren
gülümsedi	gülümse
yayıncılar	yayıncı
editörler	editör
şaşılacak	şaş
şey	şey
röntgen	röntgen
gibi	gibi
biliyorlar	bil
birbirlerini	birbiri
...	...
profesyonel	profesyonel
liglerde	lig
takımı	takım
bulunmayan	bulun
illerin	il
yenilikleri	yeni
yakından	yakın
izliyor	izle
1974'te	1974
disco	disco
music	music
akımına	akım
kapılmış	kap
gördük	gör
dalida'yı	dalida
devede	deve
kulak	kulak
bile	bile
hem	hem
ders	ders
anlatıyordu	anla
anlatıyor	anla
hem	hem
de	de
kendi	kendi
gözetimi	gözetim
altında	alt
ders	ders
çalıştırıyordu	çalış
çalıştırıyor	çalış
hafifçe	hafifçe
rengi	renk
dönmüş	dön
patlıcanları	patlıcan
tepsiye	tepsi
yayıp	yay
tuzlayım	tuz
üzerine	üzer
hazırladığınız	hazırla
köfteleri	köfte
dizin	diz
unutulan	unut
değerlerimize	değer
sahip	sahip
çıkalım	çık
haftası	hafta
etkinlikleri	etkin
çerçevesinde	çerçeve
arkeoloji	arkeoloji
müzesi'nde	müze
düzenlenen	düzenle
konferansta	konferans
kentliler	kentli
atalarının	ata
davranış	davran
biçimlerinin	biçim
detaylarını	detay
öğrenirken	öğren
öğrenir	öğren
hayranlıklarını	hayranlık
gizleyemediler	gizle
gümüş	gümüş
yılları	yıl
aşan	aş
saygılı	saygılı
bir	bir
beraberliğin	beraberlik
parlak	parlak
ışıkları	ışık
günlerin	gün
prizmasında	prizma
önce	önce
ikiye	iki
bölünüp	böl
tuz	tuz
parça	parça
olacaksa	ol
olacak	ol
ortadan	orta
ikiye	iki
ayrık	ayrık
karaoğlan	karaoğlan
demokratik	demokratik
sol	sol
terazisinin	terazi
hangi	hangi
kefesinden	kefe
sesleniyor	seslen
ben	ben
değişik	değişik
birini	biri
arıyor	ara
araştırmalar	araştırma
gösteriyor	göster
ki	ki
insanoğlu	insanoğlu
bizler	biz
genelde	genelde
duygularıyla	duygu
hareket	hareket
eden	et
varlıklarız	varlık
varlıklar	varlık
ilk	ilk
kez	kez
ailesiyle	aile
birlikte	birlikte
oyuncak	oyuncak
almaya	al
çıkmıştı	çık
çıkmış	çık
her	her
ülkede	ülke
hem	hem
çalışıp	çalış
hem	hem
de	de
okuyanlar	oku
vardır	var
var	var
geçen	geçen
yıl	yıl
leeds	leeds
united'la	united
oynanan	oyna
maçlarda	maç
yaşanan	yaşa
olaylar	olay
nedeniyle	neden
güvenlik	güvenlik
konusundaki	konu
konusunda	konu
ki	ki
hassasiyetini	hassasiyet
dile	dil
getiren	getir
sarı	sarı
kırmızılılar'ı	kırmızılı
özel	özel
bir	bir
şirketin	şirket
koruması	koru
bekleniyor	bekle
orta	orta
ısılı	ısılı
ateşte	ateş
karıştırılarak	karış
kaynatın	kayna
özellikle	özellikle
baş	baş
boyun	boyun
eller	el
ayaklar	ayak
gibi	gibi
büyük	büyük
ısı	ısı
kayıp	kayıp
merkezlerinin	merkez
suyla	su
asgari	asgari
teması	temas
olmasına	ol
dikkat	dikkat
edilmeli	et
ve	ve
bere	bere
eldiven	eldiven
yün	yün
giysiler	giysi
tulum	tulum
yağmurluk	yağmurluk
rüzgârlık	rüzgârlık
vb	vb
bu	bu
yüzden	yüz
fiyasko	fiyasko
demek	de
haksızlık	haksızlık
olur	ol
kayıp	kayıp
gitti	git
...	...
bu	bu
seçimler	seçim
kürt	kürt
sorununun	sorun
ekonomik	ekonomik
siyasal	siyasal
bir	bir
sorun	sorun
da	da
tescillemiş	tescille
harika	harika
bir	bir
oyuncu	oyuncu
işte	işte
ben	ben
buna	bu
iletişim	iletişim
diyorum	de
bağlar	bağ
ağaç	ağaç
kümeleri	küme
geçerler	geçer
ara	ara
ara	ara
22	22
günümüz	gün
sanatçıları	sanat
istanbul	istanbul
sergisi	sergi
açılıyor	aç
bunu	bu
bu	bu
sabah	sabah
tesadüfen	tesadüfen
bir	bir
fişekten	fişek
duydum	duy
fakat	fakat
çarkıfelek	çarkıfelek
başını	baş
iki	iki
yana	yan
salladı	salla
bu	bu
tür	tür
incir	incir
çekirdeğini	çekirdek
doldurmayan	dol
tartışmalardan	tartışma
da	da
gına	gına
gelmiştir	gel
doktorun	doktor
adı	ad
sinan	sinan
şakrak	şakrak
malzemeler	malzeme
çünkü	çünkü
dul	dul
bir	bir
kadının	kadın
topluma	toplum
karşı	karşı
sorumlulukları	sorumluluk
daha	daha
fazla	fazla
oluyor	ol
kalan	kalan
insanların	insan
çoğu	çoğu
yurtdışına	yurtdışı
gittiler	git
marmara'ya	marmara
doğru	doğru
gelen	gel
deprem	deprem
konusunda	konu
depremden	deprem
önce	önce
yayınlarıyla	yayın
uyaran	uyar
arkadaşlarımızdan	arkadaş
birisiydi	biri
birisi	biri
yp'nin	yp
muş	muş
milletvekili	milletvekil
muzaffer	muzaffer
demir'i	demir
transferinin	transfer
ardından	art
millet	millet
partisi	parti
de	de
hazine	hazine
yardımı	yardım
alabilmek	al
için	için
dyp'den	dyp
istifa	istifa
eden	et
afyon	afyon
milletvekili	milletvekili
baki	baki
durmaz'ı	durmaz
transfer	transfer
etti	et
araştırmada	araştırma
yöneltilen	yönel
sosyal	sosyal
güvenlik	güvenlik
sistemi	sistem
hakkında	hak
bilginiz	bilgi
var	var
mı	mi
sorusuna	soru
iş	iş
değiştirmeyi	değiş
düşünenlerin	düşün
yüzde	yüz
58'i	58
evet	evet
yanıtı	yanıt
verirken	ver
verir	ver
iş	iş
arayan	ara
katılımcılarda	katılımcı
bu	bu
oran	oran
yüzde	yüz
54'te	54
kaldı	kal
aklı	akıl
hâlâ	hâlâ
kod	kod
adını	ad
nasıl	nasıl
olup	ol
da	da
öğrendiklerindeydi	öğren
öğrendiklerinde	öğren
bir	bir
gün	gün
mutlaka	mutlaka
karanlıkların	karanlık
kişilik	kişilik
satışlı	satışlı
ilişkilerin	ilişki
yargılandığı	yargıla
aydınlık	aydınlık
mahkemelerde	mahkeme
hesap	hesap
vereceksiniz	ver
sonuçta	sonuç
endülüs	endülüs
ibn-i	ibn-i
bacce	bacce
ibn-i	ibn-i
arabi	arabi
ibn-i	ibn-i
zahar	zahar
ibn-i	ibn-i
rüşd	rüşd
ibn-i	ibn
hazm	hazm
gibi	gibi
dahiler	dâhi
yetiştirdi	yetiş
dışında	dış
istifa	istifa
aklımın	akıl
ucundan	uç
bile	bile
geçmez	geç
dediği	de
vurgulandı	vurgula
pastör	pastör
bu	bu
aşıyı	aşı
kuduzlu	kuduzlu
tavşan	tavşan
omuriliklerinden	omurilik
elde	el
etmiş	et
ve	ve
1884	1884
yılında	yıl
ilk	ilk
köpekler	köpek
üzerinde	üzer
deneyerek	dene
basan	bas
elde	el
etmişti	et
etmişti	et
etmiş	et
güney	güney
koreli	koreli
aileler	aile
kuzeyde	kuzey
üç	üç
gün	gün
kalacaklar	kal
bir	bir
sigara	sigara
yaktım	yak
adı	ad
anadolu'da	anadolu
selçuklu	selçuklu
sınırlarından	sınır
taşmıştı	taş
taşmış	taş
savaşa	savaş
barışa	barış
karar	karar
verenler	ver
çok	çok
uzaktaydılar	uzak
uzakta	uzak
ama	ama
hayat	hayat
şubat	şubat
paris'inin	paris
alphonse	alphonse
de	de
neuville	neuville
sokağı'na	sokak
bakan	bakan
nemli	nemli
bulanık	bulanık
ve	ve
kirli	kirli
havasını	hava
doğrudan	doğru
solumak	solu
için	için
sabırsızlanıyordu	sabırsızlan
sabırsızlanıyor	sabırsızlan
aileme	aile
kabul	kabul
ettiremezdim	et
ettiremez	et
kızgınlığınızı	kızgınlık
haklı	haklı
görebilirim	gör
ama	ama
beni	ben
aşağılamayın	aşağıla
daha	daha
ilk	ilk
temasında	temas
dr	dr
irdelp'in	irdelp
yüzünün	yüz
aldığı	al
biçimden	biçim
bir	bir
tatsızlık	tatsızlık
olduğu	ol
anlaşıldı	anlaş
nedenini	neden
bilemiyorum	bil
kırmızı	kırmızı
her	her
şeyden	şey
önce	önce
nerde	nere
benim	ben
aksarayda	aksaray
ki	ki
evim	ev
hani	hani
köşesinde	köşe
büfe	büfe
olan	ol
hani	hani
bir	bir
gece	gece
üçer	üç
üçer	üç
24	24
tane	tane
sosisli	sosisli
aldığımız	al
büfe	büfe
korkulan	kork
karşı	karşı
çıkılan	çık
hakaret	hakaret
tehdit	tehdit
edilen	et
sadece	sadece
ve	ve
sadece	sadece
bu	bu
ulusal	ulusal
direniş	direniş
15	15
yaşında	yaş
yıldızlarda	yıldız
avrupa	avrupa
şampiyonluğunu	şampiyonluk
yakaladım	yakala
eğlenceyi	eğlence
iyi	iyi
giyinmeyi	giy
arkadaşlarının	arkadaş
evine	ev
gitmeyi	git
severler	sev
gazetenin	gazete
sahibi	sahip
mehmet	mehmet
ali	ali
yılmaz'a	yılmaz
davos'a	davos
beraber	beraber
gidelim	git
dedim	de
yaşadığınız	yaşa
yerden	yer
taşınsaydınız	taşın
taşınsa	taşın
neler	ne
hisseder	hisset
öyle	öyle
aşk	aşk
ve	ve
şevk	şevk
içinde	iç
tavaf	tavaf
yapıyordum	yap
yapıyor	yap
ki	ki
âdeta	âdeta
kendimden	kendi
geçmiştim	geç
geçmiş	geç
çorum'da	çorum
bir	bir
iş	iş
merkezinde	merkez
doğal	doğal
gaz	gaz
dönüşüm	dönüşüm
çalışmaları	çalışma
sırasında	sıra
çıkan	çık
yangının	yangın
ardından	art
oluşan	oluş
duman	duman
sebebiyle	sebep
üst	üst
katlarda	kat
mahsur	mahsur
kalan	kal
çoğu	çoğu
kadın	kadın
yaklaşık	yaklaşık
30	30
kişi	kişi
itfaiye	itfaiye
ekiplerince	ekip
kurtarıldı	kurtar
iki	iki
obanın	oba
yiğitleri	yiğit
atlarına	at
biner	bin
silahlanırlar	silah
budapeşte	budapeşte
tren	tren
istasyonu	istasyon
yorgun	yorgun
parkın	park
az	az
ilerisi	ileri
deniz	deniz
kıyısıydı	kıyı
kıyısı	kıyı
...	...
çeviriler	çeviri
de	de
yapar	yap
boyuna	boy
kitap	kitap
okuyup	oku
öneriler	öneri
getirirdi	getir
getirir	getir
tatlı	tatlı
kaşığı	kaşık
tuz	tuz
bu	bu
olumsuzluklara	olumsuzluk
rağmen	rağmen
burada	bura
çok	çok
güçlüyüz	güçlü
güçlü	güçlü
nisan	nisan
nedeniyle	neden
verdiği	ver
halk	halk
konserinde	konser
binlerce	binlerce
gencin	genç
oluşturduğu	oluş
cıvıltı	cıvıltı
kümesi	küme
nin	nin
ceylan	ceylan
şarkısını	şarkı
söylercesine	söyle
büyük	büyük
bir	bir
coşkuyla	coşku
türkiye	türkiye
laiktir	laik
laik	laik
kalacak	kal
diye	diye
gönül	gönül
sesi	ses
vermesinin	ver
hiç	hiç
mi	mi
ağırlığı	ağırlık
olmadı	ol
falkenhayn	falkenhayn
karargahını	karargâh
önce	önce
istanbul'da	istanbul
kurdu	kur
imgesel	imgesel
çağrışımlara	çağrışım
açık	açık
balık	balık
kuş	kuş
yaprak	yaprak
doğa	doğa
kesiti	kesit
...	...
modüler	modüler
birimler	birim
renk	renk
skalası	skala
ve	ve
oran	oran
farklılığıyla	farklılık
akıcı	akıcı
hale	hâl
dönüşüp	dönüş
izleyiciye	izleyici
hareketin	hareket
yönünü	yön
ve	ve
duruş	duruş
noktasını	nokta
öneren	öner
eklemli	eklemli
parçalar	parça
çevresindeki	çevre
çevresinde	çevre
ki	ki
boşluğu	boşluk
eşit	eşit
aralıklarla	aralık
tarayarak	tara
kendisine	kendi
mekân	mekân
içerisinde	içeri
kalıcı	kalıcı
bir	bir
yer	yer
arayan	ara
yuvarlatılmış	yuvarla
formlar	form
biçim	biçim
dilinin	dil
teknik	teknik
ve	ve
estetik	estetik
imkânlarını	imkân
oluşturuyor	oluş
tarihin	tarih
doktor	doktor
tarafından	taraf
ileri	ileri
alınması	alın
yayımlanan	yayımla
bildiride	bildiri
geçen	geçen
mayıs	mayıs
ayında	ay
halep'te	halep
burhan	burhan
ali	ali
ve	ve
hacı	hacı
afrani	afrani
adlı	adlı
parti	parti
üyelerinin	üye
pkk	pkk
